Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2012-01-03 09:30:00,,,,,1000000,,
AN,AN,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,2840.0,33.26,94458.4,2840.0,982896.11,0.0,0.0,
BMC,BMC,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,3025.0,32.5,98312.5,3025.0,982896.11,0.0,0.0,
CRM,CRM,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,1010.0,97.48,98454.8,1010.0,982896.11,0.0,0.0,
FDO,FDO,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,1748.0,56.77,99233.96,1748.0,982896.11,0.0,0.0,
ICE,ICE,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,843.0,117.02,98647.86,843.0,982896.11,0.0,0.0,
MA,MA,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,273.0,355.61,97081.53,273.0,982896.11,0.0,0.0,
NTAP,NTAP,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,2800.0,35.64,99792.0,2800.0,982896.11,0.0,0.0,
PRGO,PRGO,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,1030.0,94.87,97716.1,1030.0,982896.11,0.0,0.0,
SRCL,SRCL,Buy,2012-01-04 16:00:00,0.98289611,0.98289611,1293.0,76.72,99198.96,1293.0,982896.11,0.0,0.0,
ACN,ACN,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,940.0,51.37,48287.8,940.0,945843.35,0.0,0.0,
AN,AN,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-1336.0,34.05,-45490.8,1504.0,945843.35,0.0,0.0,
ANF,ANF,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,1073.0,45.28,48585.44,1073.0,945843.35,0.0,0.0,
BMC,BMC,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-1496.0,32.79,-49053.84,1529.0,945843.35,0.0,0.0,
CME,CME,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,207.0,46.05,9532.35,207.0,945843.35,0.0,0.0,
CPB,CPB,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,1523.0,31.26,47608.98,1523.0,945843.35,0.0,0.0,
CRM,CRM,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-497.0,98.77,-49088.69,513.0,945843.35,0.0,0.0,
FDO,FDO,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-872.0,57.57,-50201.04,876.0,945843.35,0.0,0.0,
ICE,ICE,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-414.0,117.01,-48442.14,429.0,945843.35,0.0,0.0,
MA,MA,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-133.0,351.93,-46806.69,140.0,945843.35,0.0,0.0,
MPC,MPC,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,1506.0,31.3,47137.8,1506.0,945843.35,0.0,0.0,
NE,NE,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,1621.0,30.04,48694.84,1621.0,945843.35,0.0,0.0,
NTAP,NTAP,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-1388.0,34.67,-48121.96,1412.0,945843.35,0.0,0.0,
PCS,PCS,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,5957.0,8.01,47715.57,5957.0,945843.35,0.0,0.0,
PRGO,PRGO,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-502.0,95.93,-48156.86,528.0,945843.35,0.0,0.0,
S,S,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,21558.0,2.24,48289.92,21558.0,945843.35,0.0,0.0,
SRCL,SRCL,Sell,2012-01-05 16:00:00,0.942585388438,0.942585388438,-644.0,76.93,-49542.92,649.0,945843.35,0.0,0.0,
VLO,VLO,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,2513.0,19.43,48827.59,2513.0,945843.35,0.0,0.0,
WPX,WPX,Buy,2012-01-05 16:00:00,0.942585388438,0.942585388438,2849.0,17.52,49914.48,2849.0,945843.35,0.0,0.0,
ACN,ACN,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-347.0,51.28,-17794.16,593.0,999658.58,0.0,0.0,
AN,AN,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-600.0,33.44,-20064.0,904.0,999658.58,0.0,0.0,
ANF,ANF,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-404.0,44.31,-17901.24,669.0,999658.58,0.0,0.0,
BF.B,BF.B,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,390.0,77.0,30030.0,390.0,999658.58,0.0,0.0,
BMC,BMC,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-588.0,32.01,-18821.88,941.0,999658.58,0.0,0.0,
CL,CL,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,340.0,88.14,29967.6,340.0,999658.58,0.0,0.0,
CME,CME,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-77.0,45.16,-3477.32,130.0,999658.58,0.0,0.0,
COST,COST,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,370.0,80.4,29748.0,370.0,999658.58,0.0,0.0,
CPB,CPB,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-553.0,30.91,-17093.23,970.0,999658.58,0.0,0.0,
CRM,CRM,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-202.0,101.06,-20414.12,311.0,999658.58,0.0,0.0,
CSC,CSC,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,1267.0,23.04,29191.68,1267.0,999658.58,0.0,0.0,
CVH,CVH,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,1005.0,29.17,29315.85,1005.0,999658.58,0.0,0.0,
DF,DF,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,2896.0,10.56,30581.76,2896.0,999658.58,0.0,0.0,
EA,EA,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,1505.0,19.67,29603.35,1505.0,999658.58,0.0,0.0,
FDO,FDO,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-331.0,53.27,-17632.37,545.0,999658.58,0.0,0.0,
FOSL,FOSL,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,377.0,78.46,29579.42,377.0,999658.58,0.0,0.0,
GPS,GPS,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,1694.0,17.83,30204.02,1694.0,999658.58,0.0,0.0,
IBM,IBM,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,167.0,180.3,30110.1,167.0,999658.58,0.0,0.0,
ICE,ICE,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-164.0,115.01,-18861.64,265.0,999658.58,0.0,0.0,
MA,MA,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-53.0,342.45,-18149.85,87.0,999658.58,0.0,0.0,
MPC,MPC,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-542.0,31.05,-16829.1,964.0,999658.58,0.0,0.0,
NE,NE,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-608.0,29.96,-18215.68,1013.0,999658.58,0.0,0.0,
NRG,NRG,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,1711.0,17.61,30130.71,1711.0,999658.58,0.0,0.0,
NTAP,NTAP,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-531.0,35.33,-18760.23,881.0,999658.58,0.0,0.0,
PCS,PCS,Sell,2012-01-06 16:00:00,1.00455862611,1.00455862611,-2152.0,8.02,-17259.04,3805.0,999658.58,0.0,0.0,
PPL,PPL,Buy,2012-01-06 16:00:00,1.00455862611,1.00455862611,1072.0,27.45,29426.4,1072.0,999658.58,0.0,0.0,
