Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
TIF,TIF,Sell Short,2012-01-10 16:00:00,0.948406493782,-0.900846899485,-390.0,59.33,-23138.7,-390.0,-896308.64,0.0,0.0,
TSN,TSN,Buy to Cover,2012-01-10 16:00:00,0.948406493782,-0.900846899485,62.0,20.19,1251.78,-1167.0,-896308.64,0.0,0.0,
VLO,VLO,Buy to Cover,2012-01-10 16:00:00,0.948406493782,-0.900846899485,33.0,19.7,650.1,-1186.0,-896308.64,0.0,0.0,
WPX,WPX,Sell Short,2012-01-10 16:00:00,0.948406493782,-0.900846899485,-1.0,16.98,-16.98,-1443.0,-896308.64,0.0,0.0,
ACN,ACN,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,80.0,53.1,4248.0,-373.0,-884973.19,0.0,0.0,
AIZ,AIZ,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-506.0,37.43,-18939.58,-506.0,-884973.19,0.0,0.0,
AN,AN,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,127.0,34.35,4362.45,-568.0,-884973.19,0.0,0.0,
ANF,ANF,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,89.0,44.66,3974.74,-435.0,-884973.19,0.0,0.0,
BF.B,BF.B,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,54.0,79.25,4279.5,-242.0,-884973.19,0.0,0.0,
BMC,BMC,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,129.0,31.86,4109.94,-614.0,-884973.19,0.0,0.0,
CFN,CFN,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,164.0,22.88,3752.32,-849.0,-884973.19,0.0,0.0,
CHRW,CHRW,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-289.0,65.45,-18915.05,-289.0,-884973.19,0.0,0.0,
CL,CL,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,45.0,86.87,3909.15,-217.0,-884973.19,0.0,0.0,
CME,CME,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,18.0,43.61,784.98,-85.0,-884973.19,0.0,0.0,
CNX,CNX,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-525.0,35.6,-18690.0,-525.0,-884973.19,0.0,0.0,
COG,COG,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-249.0,34.75,-8652.75,-249.0,-884973.19,0.0,0.0,
COST,COST,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,53.0,79.27,4201.31,-245.0,-884973.19,0.0,0.0,
CPB,CPB,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,140.0,31.72,4440.8,-598.0,-884973.19,0.0,0.0,
CRM,CRM,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,46.0,105.82,4867.72,-184.0,-884973.19,0.0,0.0,
CSC,CSC,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,195.0,24.07,4693.65,-797.0,-884973.19,0.0,0.0,
CVH,CVH,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,144.0,29.64,4268.16,-655.0,-884973.19,0.0,0.0,
DF,DF,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,411.0,10.89,4475.79,-1761.0,-884973.19,0.0,0.0,
EA,EA,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,202.0,19.38,3914.76,-1007.0,-884973.19,0.0,0.0,
EQT,EQT,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,65.0,50.26,3266.9,-364.0,-884973.19,0.0,0.0,
FDO,FDO,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,77.0,53.42,4113.34,-361.0,-884973.19,0.0,0.0,
FOSL,FOSL,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,57.0,79.37,4524.09,-243.0,-884973.19,0.0,0.0,
GPS,GPS,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,219.0,17.77,3891.63,-1078.0,-884973.19,0.0,0.0,
IBM,IBM,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,22.0,180.09,3961.98,-107.0,-884973.19,0.0,0.0,
ICE,ICE,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,37.0,112.61,4166.57,-171.0,-884973.19,0.0,0.0,
LLY,LLY,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,104.0,38.58,4012.32,-485.0,-884973.19,0.0,0.0,
MA,MA,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,10.0,341.0,3410.0,-57.0,-884973.19,0.0,0.0,
MNST,MNST,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-205.0,46.2,-9471.0,-205.0,-884973.19,0.0,0.0,
MPC,MPC,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,134.0,32.25,4321.5,-616.0,-884973.19,0.0,0.0,
NE,NE,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,133.0,30.17,4012.61,-632.0,-884973.19,0.0,0.0,
NRG,NRG,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,223.0,17.51,3904.73,-1107.0,-884973.19,0.0,0.0,
